id,tipo,nome,situacao
"alberto-felix-oliveira","people","Alberto Félix Oliveira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"alberto-leite","people","Alberto Leite","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"alberto-mauricio-calo","people","Alberto Maurício Caló","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"alberto-samuel-alcolumbre-tobelem","people","Alberto Samuel Alcolumbre Tobelem","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"aletea-vega-marona-kunde","people","Aletea Vega Marona Kunde","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"alexandre-flavio-medeiros-monteiro","people","Alexandre Flávio Medeiros Monteiro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"alina-boueres","people","Alina Boueres","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"altieres-santana","people","Altieres Santana","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"aluizio-moizinho","people","Aluizio Honorio Moizinho Junior","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"amilton-tiago-de-souza","people","Amilton Tiago de Souza","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"ana-claudia-queiroz-de-paiva","people","Ana Cláudia Queiroz de Paiva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"ana-paula-casagrande","people","Ana Paula Casagrande","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"anderson-antunes-unltd","people","Anderson Antunes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"anderson-wander-da-silva-lima","people","Anderson Wander da Silva Lima","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andre-flores-tavares","people","André Flores Tavares","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andre-kruschewsky-lima","people","André Kruschewsky Lima","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andre-salvador-unltd","people","André Salvador","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andre-seixas-maia","people","André Seixas Maia","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andre-velloso-martins","people","André Velloso Martins","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"andrea-lima-novaes","people","Andréa Lima Novaes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"angelo-rezende","people","Ângelo Rezende","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"angelo-ribeiro-da-silva","people","Angelo Ribeiro da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"antonio-augusto-conte","people","Antônio Augusto Conte","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"antonio-carlos-freixo-junior","people","Antonio Carlos Freixo Júnior","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"antonio-carlos-rodrigues","people","Antônio Carlos Rodrigues","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"antonio-claudio-macedo-da-silva","people","Antônio Cláudio Macedo da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"antonio-rueda","people","Antônio Rueda","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"armando-miguel-gallo-neto","people","Armando Miguel Gallo Neto","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"arthur-caixeta-nogueira","people","Arthur Caixeta Nogueira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"artur-martins-de-figueiredo","people","Artur Martins de Figueiredo","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"ascendino-madureira-garcia","people","Ascendino Madureira Garcia","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"augusto-lima","people","Augusto Lima","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"belline-santana","people","Belline Santana","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"benjamim-botelho-de-almeida","people","Benjamim Botelho de Almeida","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"bonnie-toaldo-bonilha","people","Bonnie Toaldo Bonilha","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"bruno-serra-fernandes","people","Bruno Serra Fernandes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"camilla-nascimento","people","Camilla Nascimento","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"cesar-reginato-ligeiro","people","César Reginato Ligeiro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"ciro-soares","people","Ciro Soares","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"claudia-resende-soares-da-silva","people","Cláudia Resende Soares da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"claudinei-galvao-da-silva","people","Claudinei Galvão da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"consuelo-dieguez","people","Consuelo Dieguez","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-de-faria-jeronimo-leite","people","Daniel de Faria Jerônimo Leite","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-lopes-monteiro","people","Daniel Lopes Monteiro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-marinelli-meira","people","Daniel Marinelli Meira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-moreira-bezerra","people","Daniel Moreira Bezerra","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-penido-de-britto","people","Daniel Penido de Britto","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"daniel-souza-iost","people","Daniel Souza Iost","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"dario-oswaldo-garcia-junior","people","Dário Oswaldo Garcia Júnior","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"david-abdala","people","David João Abdala Júnior","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"david-agape","people","David Ágape","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"david-henrique-alves","people","David Henrique Alves","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"david-lopes-monteiro","people","David Lopes Monteiro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"decio-gabriel-gimenez","people","Décio Gabriel Gimenez","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"deivis-marcon-antunes","people","Deivis Marcon Antunes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"dennis-cali","people","Dennis Cali","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"diego-escosteguy","people","Diego Escosteguy","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"diogo-ilario-de-araujo-oliveira","people","Diogo Ilário de Araújo Oliveira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"eduardo-mendonca-sodre-martins","people","Eduardo Mendonça Sodré Martins","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"elisangela-capassi","people","Elisangela Katia Capassi","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"emerson-jose-pedroso","people","Emerson José Pedroso","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"erlene-nonato-lacerda","people","Erlene Nonato Lacerda","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"eucherio-lerner-rodrigues","people","Euchério Lerner Rodrigues","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"eugenio-de-souza-kruschewsky","people","Eugênio de Souza Kruschewsky","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"felipe-cancado-vorcaro","people","Felipe Cançado Vorcaro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"felipe-wallace-simonsen","people","Felipe Wallace Simonsen","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"fernanda-nechio","people","Fernanda Nechio","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"fernanda-pereira-da-silva-machado","people","Fernanda Pereira da Silva Machado","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"fernando-de-goes","people","Fernando de Goes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"fernando-sarney","people","Fernando Sarney","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"flavia-peres","people","Flávia Peres","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"flavio-carneiro-leo-dias","people","Flávio Carneiro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"francisco-jose-pereira-da-silva","people","Francisco José Pereira da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"gabriel-garrido-lacerda","people","Gabriel Garrido Lacerda","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"gabriel-pimenta-alves","people","Gabriel Pimenta Alves","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"georges-seigneur","people","Georges Seigneur","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"gilberto-benevides","people","Gilberto Benevides","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"gilson-bahia-vasconcelos","people","Gilson Bahia Vasconcelos","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"glaucio-maciel-bezerra","people","Gláucio Maciel Bezerra","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"guilherme-de-toledo-benazzi","people","Guilherme de Toledo Benazzi","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"guilherme-henrique-sodre-martins","people","Guilherme Henrique Sodré Martins","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"gustavo-cleto-marsiglia","people","Gustavo Cleto Marsiglia","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"hamilton-suaki","people","Hamilton Suaki","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"helder-alves-de-lima","people","Helder Alves de Lima","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"henrique-balduino-machado-moreira","people","Henrique Balduino Machado Moreira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"henrique-peretto","people","Henrique Peretto","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"henrique-vorcaro","people","Henrique Vorcaro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jackson-rubens-de-oliveira","people","Jackson Rubens de Oliveira","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"janaina-pereira-lima-palazzo","people","Janaina Pereira Lima Palazzo","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jarbas-soares-junior","people","Jarbas Soares Júnior","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jefferson-pessoa-da-silva","people","Jefferson Pessoa da Silva","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joana-machado-de-moraes-mourao","people","Joana Machado de Moraes Mourão","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-carlos-mansur","people","João Carlos Mansur","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-carlos-paolilo-bacelar-filho","people","João Carlos Paolilo Bacelar Filho","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-claudio-nabas","people","João Cláudio Nabas","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-henrique-caldas","people","João Henrique Caldas (JHC)","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-manoel-pinho-de-mello","people","João Manoel Pinho de Mello","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"joao-pedro-leite-nunes","people","João Pedro Leite Nunes","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jocildo-lemos","people","Jocildo Lemos","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jose-carlos-dias-toffoli","people","José Carlos Dias Toffoli","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jose-eugenio-dias-toffoli","people","José Eugênio Dias Toffoli","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jose-milton-afonso-goncalves","people","José Milton Afonso Gonçalves","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"jucelio-fleury-neto","people","Jucelio Fleury Neto","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"julia-grasiela-de-oliveira-freixo","people","Julia Grasiela de Oliveira Freixo","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"karina-ferreira-da-gama","people","Karina Ferreira da Gama","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"karina-resende-oliveira-vorcaro","people","Karina Resende Oliveira Vorcaro","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"katherine-venancio-telles","people","Katherine Venâncio Telles","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"kevin-de-carvalho-marques","people","Kevin de Carvalho Marques","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"lauro-jardim","people","Lauro Jardim","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leandro-almada-da-costa","people","Leandro Almada da Costa","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leandro-de-jesus","people","Leandro de Jesus","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leandro-garcia","people","Leandro Garcia","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leo-serrano","people","Léo Serrano","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leonardo-antonio-lima-dias","people","Leonardo Antônio Lima Dias","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"leonardo-augusto-furtado-palhares","people","Leonardo Augusto Furtado Palhares","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luis-felipe-woyceichoski","people","Luís Felipe Woyceichoski","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-antonio-lombardi","people","Luiz Antônio Lombardi","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-bull","people","Luiz Bull","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-guilherme-camasmie","people","Luiz Guilherme Atalla Camasmie","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-osvaldo-pastore","people","Luiz Osvaldo Pastore","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-phillipi-mourao","people","Luiz Phillipi Mourão","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
"luiz-renno-netto","people","Luiz Rennó Netto","triagem Commons; sem imagem aprovada; pesquisa complementar pendente"
